Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Flight No. ,Launch Site,Version Booster,Booster landing,Date,Time
,,Paz,"2,150 kg",SSO,Hisdesat,Success,48,VAFB,F9 FTB1032.2245,No attempt,31 January 2018,21:25
,,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,49,CCAFS,F9 FTB1038.2268,No attempt,22 February 2018,14:17
,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,50,VAFB,F9 B4[,No attempt,6 March 2018,05:33
,,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,51,CCAFS,F9 B4B1041.2268,No attempt,30 March 2018,14:14
,,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,52,CCAFS,F9 B4B1039.2292,Success,2 April 2018,20:30
,,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,53,KSC,F9 B4[,Success,18 April 2018,22:51
,,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,54,VAFB,F9 B5311B1046.1268,No attempt,11 May 2018,20:14
,,SES-12,"5,384 kg",GTO,SES,Success,55,CCAFS,F9 B4B1043.2322,No attempt,22 May 2018,19:47
,,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,56,CCAFS,F9 B4B1040.2268,No attempt,4 June 2018,04:45
,,Telstar 19V,"7,075 kg",GTO,Telesat,Success,57,CCAFS,F9 B4B1045.2336,Success,29 June 2018,09:42
,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,58,VAFB,F9 B5,Success,22 July 2018,05:50
,,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,59,CCAFS,F9 B5349B1048[,Success,25 July 2018,11:39
,,Telstar 18V,"7,060 kg",GTO,Telesat,Success,60,CCAFS,F9 B5B1046.2354,Success,7 August 2018,05:18
,,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,61,VAFB,F9 B5[,Success,10 September 2018,04:45
,,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,62,KSC,F9 B5B1048.2364,Success,8 October 2018,02:22
,,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,63,VAFB,F9 B5B1047.2268,Success,15 November 2018,20:46
,,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",64,CCAFS,F9 B5B1046.3268,Failure,3 December 2018,18:34:05
,,GPS III,"4,400 kg",MEO,USAF,Success,65,CCAFS,F9 B5[,No attempt,5 December 2018,18:16
,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",66,VAFB,F9 B5[,Success,23 December 2018,13:51
,,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
",67,CCAFS,F9 B5B1049.2397,Success,11 January 2019,15:31
,,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",68,KSC,F9 B5B1048.3399,Success,22 February 2019,01:45
,,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",69,CCAFS,F9 B5[]413,Success,2 March 2019,07:49
,,Starlink,"13,620 kg",LEO,SpaceX,"Success
",70,CCAFS,F9 B5[,Success,4 May 2019,06:48
,,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",71,VAFB,F9 B5B1049.3434,Success,24 May 2019,02:30
,,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",72,CCAFS,F9 B5B1051.2420,Success,12 June 2019,14:17
,,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",73,CCAFS,F9 B5B1056.2465,No attempt,25 July 2019,22:01
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",74,CCAFS,F9 B5B1047.3472,Success,6 August 2019,23:23
,,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",75,CCAFS,F9 B5,Success,11 November 2019,14:56
,,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",76,CCAFS,F9 B5[,Success,5 December 2019,17:29
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",77,CCAFS,F9 B5B1056.3482,Success,17 December 2019,00:10
,,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",78,KSC,F9 B5,"No attempt
",7 January 2020,02:19:21
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",79,CCAFS,F9 B5,Success,19 January 2020,15:30
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",80,CCAFS,F9 B5,Failure,29 January 2020,14:07
,,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",81,CCAFS,F9 B5,Success,17 February 2020,15:05
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",82,KSC,F9 B5,Failure,7 March 2020,04:50
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",83,KSC,F9 B5,Success,18 March 2020,12:16
,,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",84,KSC,F9 B5,Success,22 April 2020,19:30
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",85,CCAFS,F9 B5[,Success,30 May 2020,19:22
,,Starlink,"15,410 kg",LEO,SpaceX,"Success
",86,CCAFS,F9 B5,Success,4 June 2020,01:25
,,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",87,CCAFS,F9 B5,Success,13 June 2020,09:21
,,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",88,CCAFS,F9 B5,Success,30 June 2020,20:10:46
,,Starlink,"14,932 kg",LEO,SpaceX,"Success
",89,KSC,F9 B5B1058.2544,Success,20 July 2020,21:30
,,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",90,CCAFS,F9 B5,Success,7 August 2020,05:12
,,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",91,CCAFS,F9 B5B1049.6544,Success,18 August 2020,14:31
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",92,KSC,F9 B5,Success,30 August 2020,23:18
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",93,KSC,F9 B5B1060.2563,Success,3 September 2020,12:46:14
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",94,KSC,F9 B5B1058.3565,Success,6 October 2020,11:29:34
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",95,CCAFS,F9 B5B1051.6568,Success,18 October 2020,12:25:57
,,GPS III,"4,311 kg",MEO,USSF,"Success
",96,CCAFS,F9 B5,Success,24 October 2020,15:31:34
,,Crew-1,"~12,500 kg",LEO,NASA,"Success
",97,KSC,F9 B5,Success,5 November 2020,23:24:23
,,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",98,VAFB,F9 B5[,Success,16 November 2020,00:27
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",99,CCAFS,F9 B5,Success,21 November 2020,17:17:08
,,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",100,KSC,F9 B5 ♺[,Success,25 November 2020,02:13
,,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",101,CCSFS,F9 B5 ♺[,Success,6 December 2020,16:17:08
,,NROL-108,C,LEO,NRO,"Success
",102,KSC,F9 B5 ♺,Success,13 December 2020,17:30:00
,,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",103,CCSFS,F9 B5 ♺,Success,19 December 2020,14:00:00
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",104,KSC,F9 B5,Success,8 January 2021,02:15
,,Transporter-1,"~5,000 kg",SSO,N/A,"Success
",105,CCSFS,F9 B5B1051.8609,Success,20 January 2021,13:02
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",106,CCSFS,F9 B5B1058.5613,Success,24 January 2021,15:00
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",107,CCSFS,F9 B5 ♺[,Failure,4 February 2021,06:19
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",108,KSC,F9 B5 ♺,Success,16 February 2021,03:59:37
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",109,CCSFS,F9 B5 ♺[,Success,4 March 2021,08:24
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",110,KSC,F9 B5 ♺[,Success,11 March 2021,08:13:29
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",111,CCSFS,F9 B5 ♺,Success,14 March 2021,10:01
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",112,CCSFS,F9 B5B1060.6643,Success,24 March 2021,08:28
,,Crew-2,"~13,000 kg",LEO,NASA,"Success
",113,KSC,F9 B5 ♺,Success,7 April 2021,16:34
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",114,CCSFS,F9 B5B1061.2647,Success,23 April 2021,9:49
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",115,KSC,F9 B5B1060.7652,Success,29 April 2021,03:44
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",116,CCSFS,F9 B5B1049.9655,Success,4 May 2021,19:01
,,Starlink,"~14,000 kg",LEO,SpaceX,"Success
",117,KSC,F9 B5B1051.10657,Success,9 May 2021,06:42
,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",118,CCSFS,F9 B5B1058.8660,Success,15 May 2021,22:56
,,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
",119,KSC,F9 B5B1063.2665,Success,26 May 2021,18:59
,,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",120,CCSFS,F9 B5B1067.1668,Success,3 June 2021,17:29
,,,,,,,121,,F9 B5,,6 June 2021,04:26
